species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
whcswi1,Cypseloides cryptus,34.5,8.6,3.7,3.7,137.2,Invertivore
blkswi,Cypseloides niger,39.7,9,3.7,3.4,149.4,Invertivore
lstswi1,Panyptila cayennensis,21.1,8.2,3.8,3,118.8,Invertivore
gstswi1,Panyptila sanctihieronymi,48.1,11.3,4.8,3.8,184.2,Invertivore
chcswi1,Streptoprocne rutila,20.2,7.1,3,3.7,130,Invertivore
whcswi,Streptoprocne zonaris,86.8,14.4,7.7,5.3,212.5,Invertivore
souwpw1,Antrostomus arizonae,53.3,22.1,7.7,4.4,159.3,Invertivore
yucnig1,Antrostomus badius,59.8,25.6,7.9,5.7,163,Invertivore
chwwid,Antrostomus carolinensis,109,15.2,7.5,6.2,207.7,Invertivore
bucnig,Antrostomus ridgwayi,48,20.5,7.6,5.2,150.2,Invertivore
lesnig,Chordeiles acutipennis,48.4,8.5,4.2,3.5,164.8,Invertivore
comnig,Chordeiles minor,79.3,12.7,6.1,3.3,192.8,Invertivore
shtnig1,Lurocalis semitorquatus,75.9,15.5,7.6,4.2,185.4,Invertivore
compau,Nyctidromus albicollis,57.8,16.2,7.2,5,150.9,Invertivore
yucpoo1,Nyctiphrynus yucatanicus,24.5,15.7,5.8,4.5,109,Invertivore
grepot1,Nyctibius grandis,547,45.3,16.4,6.7,374.1,Invertivore
norpot1,Nyctibius jamaicensis,266,26.4,10.9,6.1,290,Invertivore
emchum1,Abeillia abeillei,2.7,13,9.5,1.2,47,Nectarivore
NA,Amazilia beryllina,4.5,21.3,17.4,2.3,53.4,Nectarivore
NA,Amazilia candida,3.8,18.7,13.4,2.3,51.8,Nectarivore
NA,Amazilia cyanocephala,5.1,22.8,16.8,2.4,60.8,Nectarivore
NA,Amazilia cyanura,3.9,21.9,16.4,2.4,53.9,Nectarivore
cinhum1,Amazilia rutila,5.2,24.5,18.8,2.7,57,Nectarivore
rtlhum,Amazilia tzacatl,4.8,21.9,18.9,3.1,56.4,Nectarivore
NA,Amazilia viridifrons,6.3,25.1,21.9,3.3,55.2,Nectarivore
bubhum,Amazilia yucatanensis,3.9,23.7,18.1,2.7,54.8,Nectarivore
gnbman,Anthracothorax prevostii,6.4,28.9,21.8,2.9,65.6,Nectarivore
rthhum,Archilochus colubris,3.1,20.7,15.1,1.8,40.7,Nectarivore
NA,Atthis ellioti,2.9,14.8,11,1.1,34,Nectarivore
NA,Campylopterus curvipennis,6,29.2,22.1,2.9,63,Nectarivore
viosab1,Campylopterus hemileucurus,9.7,32.7,27.1,3.3,75.3,Nectarivore
NA,Campylopterus rufus,7.1,29,22.5,2.5,71,Nectarivore
NA,Chlorostilbon canivetii,2.6,15.4,12.8,1.9,46.8,Nectarivore
NA,Chlorostilbon forficatus,2.6,16.8,12.9,1.6,47.2,Nectarivore
brvear1,Colibri delphinae,6.4,19,14.8,1.8,67.9,Nectarivore
grnvie1,Colibri thalassinus,5.9,23.7,17.3,2.2,62.6,Nectarivore
brbhum,Cynanthus latirostris,3.1,21.4,17.9,2.1,51.5,Nectarivore
mexshe1,Doricha eliza,2.5,23.1,19.2,1.4,38.4,Nectarivore
sleshe1,Doricha enicura,2.4,21.9,18,1.4,36.5,Nectarivore
maghum1,Eugenes fulgens,8,33.9,27.3,2.5,72,Nectarivore
